restaurant_id,name,cuisine,price_range,neighborhood,ambiance,description,rating,latitude,longitude
rest_0070,Cafe Vietnamese Corner,Vietnamese,$$$$,Tribeca,Trendy,Vietnamese restaurant in Tribeca with trendy atmosphere. $$$$ price range.,3.1,40.79404585843529,-73.90460714229975
rest_0071,Bistro German Place,German,$$$$,SoHo,Family-friendly,German restaurant in SoHo with family-friendly atmosphere. $$$$ price range.,4.4,40.791486439022044,-73.96298412997446
rest_0072,Cafe Ethiopian Place,Ethiopian,$,Manhattan,Trendy,Ethiopian restaurant in Manhattan with trendy atmosphere. $ price range.,4.4,40.79636199770892,-73.91469905445327
rest_0073,Cafe Vietnamese Place,Vietnamese,$$$$,Astoria,Fast-casual,Vietnamese restaurant in Astoria with fast-casual atmosphere. $$$$ price range.,3.9,40.72944488920696,-73.9614902271398
rest_0074,Bistro French House,French,$,Manhattan,Outdoor seating,French restaurant in Manhattan with outdoor seating atmosphere. $ price range.,3.6,40.716949274668615,-73.94431987375417
rest_0075,Cafe Korean House,Korean,$$$,Queens,Romantic,Korean restaurant in Queens with romantic atmosphere. $$$ price range.,4.7,40.793615477416076,-73.9303970203325
rest_0076,Golden Kitchen,Chinese,$$,Astoria,Bar atmosphere,Chinese restaurant in Astoria with bar atmosphere atmosphere. $$ price range.,3.3,40.761500722669915,-73.90099461498959
rest_0077,Kitchen German Place,German,$$,Tribeca,Upscale,German restaurant in Tribeca with upscale atmosphere. $$ price range.,4.1,40.71400840152366,-73.94816703476363
rest_0078,The Korean Place,Korean,$$,SoHo,Casual,Korean restaurant in SoHo with casual atmosphere. $$ price range.,4.3,40.76970157409953,-73.92975159160129
rest_0079,Kitchen Korean House,Korean,$$,Tribeca,Outdoor seating,Korean restaurant in Tribeca with outdoor seating atmosphere. $$ price range.,4.4,40.735949115121976,-73.97064081557355
rest_0080,Cafe Ethiopian Place,Ethiopian,$$,Midtown,Fast-casual,Ethiopian restaurant in Midtown with fast-casual atmosphere. $$ price range.,4.4,40.78670723185801,-73.90867594474436
rest_0081,Kitchen Turkish Place,Turkish,$$$,Astoria,Bar atmosphere,Turkish restaurant in Astoria with bar atmosphere atmosphere. $$$ price range.,4.4,40.75113423988609,-73.94984837053129
rest_0082,Cafe French Spot,French,$$$$,Astoria,Trendy,French restaurant in Astoria with trendy atmosphere. $$$$ price range.,4.5,40.77019668772577,-73.92042073305639
rest_0083,Bistro Turkish Place,Turkish,$$$$,SoHo,Romantic,Turkish restaurant in SoHo with romantic atmosphere. $$$$ price range.,4.9,40.78900053418175,-73.96620048431485
rest_0084,Zen Garden,Japanese,$$$,Queens,Trendy,Japanese restaurant in Queens with trendy atmosphere. $$$ price range.,3.4,40.757828014099616,-73.99640577262032
rest_0085,Cafe Ethiopian Place,Ethiopian,$,Brooklyn,Family-friendly,Ethiopian restaurant in Brooklyn with family-friendly atmosphere. $ price range.,3.8,40.74655980181325,-73.94573553652924
rest_0086,Kitchen Indian Spot,Indian,$$,Midtown,Upscale,Indian restaurant in Midtown with upscale atmosphere. $$ price range.,4.5,40.70305002499391,-73.99626518112508
rest_0087,Cafe Ethiopian Place,Ethiopian,$$$$,Williamsburg,Casual,Ethiopian restaurant in Williamsburg with casual atmosphere. $$$$ price range.,2.7,40.782260056065965,-73.96398093585887
rest_0088,Kitchen Spanish House,Spanish,$,Chelsea,Upscale,Spanish restaurant in Chelsea with upscale atmosphere. $ price range.,4.1,40.77699935530986,-73.97841789725031
rest_0089,Cafe Greek Place,Greek,$$$,Williamsburg,Upscale,Greek restaurant in Williamsburg with upscale atmosphere. $$$ price range.,3.1,40.7622890475819,-73.99146525350062
rest_0090,The Korean Place,Korean,$$$,Williamsburg,Fast-casual,Korean restaurant in Williamsburg with fast-casual atmosphere. $$$ price range.,4.0,40.75406351216101,-73.93625700985018
rest_0091,Kitchen Vietnamese Corner,Vietnamese,$$$$,Tribeca,Family-friendly,Vietnamese restaurant in Tribeca with family-friendly atmosphere. $$$$ price range.,3.5,40.772609133372264,-73.90241479205375
rest_0092,The Ethiopian House,Ethiopian,$,Williamsburg,Bar atmosphere,Ethiopian restaurant in Williamsburg with bar atmosphere atmosphere. $ price range.,2.4,40.77951861947687,-73.9729167748738
rest_0093,The German Spot,German,$$,Astoria,Family-friendly,German restaurant in Astoria with family-friendly atmosphere. $$ price range.,4.1,40.743897142070566,-73.99215436186577
rest_0094,Bistro Spanish Spot,Spanish,$$$,Queens,Fast-casual,Spanish restaurant in Queens with fast-casual atmosphere. $$$ price range.,4.4,40.74089529444143,-73.98267056799291
rest_0095,The Spanish Place,Spanish,$$$,Williamsburg,Trendy,Spanish restaurant in Williamsburg with trendy atmosphere. $$$ price range.,4.7,40.71564370426711,-73.97497571018354
rest_0096,Bella Trattoria,Italian,$,Bronx,Romantic,Italian restaurant in Bronx with romantic atmosphere. $ price range.,5.4,40.76601973767177,-73.97200661030541
rest_0097,Mario Ristorante,Italian,$$,Queens,Casual,Italian restaurant in Queens with casual atmosphere. $$ price range.,4.3,40.79548652806632,-73.92621030833043
rest_0098,Cafe Indian Place,Indian,$$$$,SoHo,Fine Dining,Indian restaurant in SoHo with fine dining atmosphere. $$$$ price range.,5.7,40.74196000624278,-73.97522690104988
rest_0099,The Mediterranean Corner,Mediterranean,$$$,Brooklyn,Bar atmosphere,Mediterranean restaurant in Brooklyn with bar atmosphere atmosphere. $$$ price range.,4.8,40.735597267865124,-73.92421538895357
rest_0100,Bistro American Place,American,$,Chelsea,Casual,American restaurant in Chelsea with casual atmosphere. $ price range.,4.4,40.74741738290873,-73.9902165839349
rest_0101,Cafe Spanish House,Spanish,$$,Midtown,Bar atmosphere,Spanish restaurant in Midtown with bar atmosphere atmosphere. $$ price range.,4.6,40.749161587511686,-73.95265282292195
rest_0102,Bistro American Place,American,$,Chelsea,Casual,American restaurant in Chelsea with casual atmosphere. $ price range.,3.8,40.73985047343974,-73.93841499019479
rest_0103,The Greek Place,Greek,$,Park Slope,Cozy,Greek restaurant in Park Slope with cozy atmosphere. $ price range.,3.0,40.76350936508676,-73.9954695990228
rest_0104,Kitchen Lebanese Corner,Lebanese,$,Williamsburg,Cozy,Lebanese restaurant in Williamsburg with cozy atmosphere. $ price range.,5.2,40.750313625858006,-73.91435101588117
rest_0105,Bistro German Place,German,$$,Tribeca,Outdoor seating,German restaurant in Tribeca with outdoor seating atmosphere. $$ price range.,2.9,40.76586936316189,-73.98370655729185
rest_0106,Bistro Brazilian Spot,Brazilian,$$$$,Tribeca,Bar atmosphere,Brazilian restaurant in Tribeca with bar atmosphere atmosphere. $$$$ price range.,4.2,40.70265113105417,-73.94142244187266
rest_0107,Cafe Korean Place,Korean,$,Manhattan,Fast-casual,Korean restaurant in Manhattan with fast-casual atmosphere. $ price range.,3.5,40.79402302414249,-73.94245258221241
rest_0108,Bistro Spanish Corner,Spanish,$$$,Downtown,Fast-casual,Spanish restaurant in Downtown with fast-casual atmosphere. $$$ price range.,5.3,40.74582528904915,-73.94543832106841
rest_0109,Bistro Lebanese Spot,Lebanese,$$,Bronx,Trendy,Lebanese restaurant in Bronx with trendy atmosphere. $$ price range.,3.0,40.79414648087765,-73.96138973621993
rest_0110,The Mediterranean Corner,Mediterranean,$,Park Slope,Romantic,Mediterranean restaurant in Park Slope with romantic atmosphere. $ price range.,4.2,40.707118864846024,-73.96810243697063
rest_0111,Kitchen German Place,German,$$$$,Park Slope,Romantic,German restaurant in Park Slope with romantic atmosphere. $$$$ price range.,3.5,40.78448753109694,-73.99767280642642
rest_0112,Cafe Brazilian Place,Brazilian,$,Midtown,Trendy,Brazilian restaurant in Midtown with trendy atmosphere. $ price range.,3.5,40.71181648276217,-73.93032628346359
rest_0113,Bistro Korean Place,Korean,$$$,SoHo,Bar atmosphere,Korean restaurant in SoHo with bar atmosphere atmosphere. $$$ price range.,4.7,40.76289428467799,-73.9122527986473
rest_0114,Bistro Ethiopian Spot,Ethiopian,$$$,Williamsburg,Outdoor seating,Ethiopian restaurant in Williamsburg with outdoor seating atmosphere. $$$ price range.,4.7,40.72820345725713,-73.98225604562202
rest_0115,Cafe Brazilian House,Brazilian,$$$,Manhattan,Trendy,Brazilian restaurant in Manhattan with trendy atmosphere. $$$ price range.,4.5,40.77506147516409,-73.91931652607327
rest_0116,Cafe Thai Corner,Thai,$$$,Midtown,Outdoor seating,Thai restaurant in Midtown with outdoor seating atmosphere. $$$ price range.,4.0,40.73720180857928,-73.92235870392581
rest_0117,Bistro Thai House,Thai,$$$$,Manhattan,Bar atmosphere,Thai restaurant in Manhattan with bar atmosphere atmosphere. $$$$ price range.,4.1,40.7340803540253,-73.90692426743965
rest_0118,Cafe Thai Spot,Thai,$$$,Queens,Cozy,Thai restaurant in Queens with cozy atmosphere. $$$ price range.,3.8,40.77508710677915,-73.92454571259154
rest_0119,Bella Pizzeria,Italian,$$,Manhattan,Casual,Italian restaurant in Manhattan with casual atmosphere. $$ price range.,4.9,40.710312386883594,-73.90974470933205
rest_0120,Bistro Indian Place,Indian,$$$$,Midtown,Casual,Indian restaurant in Midtown with casual atmosphere. $$$$ price range.,5.0,40.73200496010306,-73.91044767715039
rest_0121,The Lebanese Spot,Lebanese,$$$$,Bronx,Family-friendly,Lebanese restaurant in Bronx with family-friendly atmosphere. $$$$ price range.,4.0,40.73892016787342,-73.99891623485198
rest_0122,Kitchen Lebanese House,Lebanese,$,Midtown,Upscale,Lebanese restaurant in Midtown with upscale atmosphere. $ price range.,4.3,40.795060714693754,-73.94265621118767
rest_0123,Lucky Garden,Chinese,$$,Brooklyn,Bar atmosphere,Chinese restaurant in Brooklyn with bar atmosphere atmosphere. $$ price range.,3.9,40.763183721216976,-73.95515544780217
rest_0124,Cafe Korean Place,Korean,$,Park Slope,Upscale,Korean restaurant in Park Slope with upscale atmosphere. $ price range.,3.2,40.7672518456077,-73.92476254705623
rest_0125,Kitchen Brazilian Spot,Brazilian,$$$$,Manhattan,Bar atmosphere,Brazilian restaurant in Manhattan with bar atmosphere atmosphere. $$$$ price range.,3.0,40.77915790437258,-73.92103818572055
rest_0126,Lucky Garden,Chinese,$,Queens,Romantic,Chinese restaurant in Queens with romantic atmosphere. $ price range.,4.0,40.70575587600167,-73.94504711176764
rest_0127,The French Corner,French,$$,Brooklyn,Outdoor seating,French restaurant in Brooklyn with outdoor seating atmosphere. $$ price range.,3.3,40.744153050137335,-73.91122958172417
rest_0128,Nonna Pizzeria,Italian,$$$$,Astoria,Bar atmosphere,Italian restaurant in Astoria with bar atmosphere atmosphere. $$$$ price range.,3.3,40.71429916820529,-73.92384893682825
rest_0129,Imperial Garden,Chinese,$$,Manhattan,Trendy,Chinese restaurant in Manhattan with trendy atmosphere. $$ price range.,3.7,40.761821806331625,-73.98988773238773
rest_0130,Cafe Korean Place,Korean,$$$,SoHo,Bar atmosphere,Korean restaurant in SoHo with bar atmosphere atmosphere. $$$ price range.,4.2,40.70727630063642,-73.91781399407097
rest_0131,Bistro Mexican Corner,Mexican,$$,SoHo,Family-friendly,Mexican restaurant in SoHo with family-friendly atmosphere. $$ price range.,3.6,40.77062422271565,-73.99186512193582
rest_0132,Zen House,Japanese,$,Brooklyn,Trendy,Japanese restaurant in Brooklyn with trendy atmosphere. $ price range.,2.8,40.78127995672575,-73.90527514226162
rest_0133,Kitchen Mexican Spot,Mexican,$$$$,Tribeca,Trendy,Mexican restaurant in Tribeca with trendy atmosphere. $$$$ price range.,2.9,40.79860010638228,-73.9246621814741
rest_0134,The Turkish Place,Turkish,$$$$,Astoria,Fine Dining,Turkish restaurant in Astoria with fine dining atmosphere. $$$$ price range.,3.4,40.77771469159274,-73.94415957502642
rest_0135,Cafe Vietnamese House,Vietnamese,$$$,Downtown,Fine Dining,Vietnamese restaurant in Downtown with fine dining atmosphere. $$$ price range.,3.8,40.7424222009247,-73.90936456149053
rest_0136,Kitchen Mediterranean Spot,Mediterranean,$,Brooklyn,Fast-casual,Mediterranean restaurant in Brooklyn with fast-casual atmosphere. $ price range.,4.0,40.70113536447675,-73.9531339358006
rest_0137,The French Place,French,$$$$,SoHo,Fast-casual,French restaurant in SoHo with fast-casual atmosphere. $$$$ price range.,3.2,40.70563032756819,-73.9881182083732
rest_0138,The Greek Corner,Greek,$$$$,Bronx,Cozy,Greek restaurant in Bronx with cozy atmosphere. $$$$ price range.,4.3,40.77460448792654,-73.94166312349029
rest_0139,Bistro Vietnamese Place,Vietnamese,$$$$,Tribeca,Fast-casual,Vietnamese restaurant in Tribeca with fast-casual atmosphere. $$$$ price range.,3.3,40.79621725484745,-73.96251294204764
rest_0140,Bistro Ethiopian Spot,Ethiopian,$,Astoria,Fine Dining,Ethiopian restaurant in Astoria with fine dining atmosphere. $ price range.,4.6,40.72235958385195,-73.90367774605595
rest_0141,The Vietnamese Place,Vietnamese,$,Williamsburg,Outdoor seating,Vietnamese restaurant in Williamsburg with outdoor seating atmosphere. $ price range.,3.7,40.70121544746898,-73.90301211732924
rest_0142,Bistro German Place,German,$,Queens,Outdoor seating,German restaurant in Queens with outdoor seating atmosphere. $ price range.,4.2,40.70737965647354,-73.94461457155987
rest_0143,Cafe Brazilian Spot,Brazilian,$,Queens,Trendy,Brazilian restaurant in Queens with trendy atmosphere. $ price range.,4.0,40.79693025356191,-73.947690215583
rest_0144,Cafe Brazilian Corner,Brazilian,$$$$,Midtown,Casual,Brazilian restaurant in Midtown with casual atmosphere. $$$$ price range.,5.2,40.74545410647678,-73.9372441919916
rest_0145,The American Corner,American,$,Park Slope,Upscale,American restaurant in Park Slope with upscale atmosphere. $ price range.,4.8,40.75843143119231,-73.9098841989509
rest_0146,Kitchen Mexican Spot,Mexican,$$$$,Midtown,Family-friendly,Mexican restaurant in Midtown with family-friendly atmosphere. $$$$ price range.,5.8,40.72773811829811,-73.98118788402762
rest_0147,Kitchen Turkish Corner,Turkish,$$$,Williamsburg,Fast-casual,Turkish restaurant in Williamsburg with fast-casual atmosphere. $$$ price range.,3.4,40.746369840494,-73.9646647771974
rest_0148,Cafe Brazilian House,Brazilian,$$,Williamsburg,Romantic,Brazilian restaurant in Williamsburg with romantic atmosphere. $$ price range.,3.4,40.79743948076661,-73.90137892555205
rest_0149,Bistro Mediterranean House,Mediterranean,$$$$,Bronx,Outdoor seating,Mediterranean restaurant in Bronx with outdoor seating atmosphere. $$$$ price range.,4.1,40.76981617140197,-73.9463903633656
rest_0150,Kitchen American Corner,American,$$$,Chelsea,Bar atmosphere,American restaurant in Chelsea with bar atmosphere atmosphere. $$$ price range.,4.8,40.76847311725539,-73.98373830606552
rest_0151,Kitchen Brazilian Place,Brazilian,$$$$,Bronx,Cozy,Brazilian restaurant in Bronx with cozy atmosphere. $$$$ price range.,3.5,40.791092718449384,-73.91774627570769
rest_0152,Kitchen Vietnamese Corner,Vietnamese,$$,Tribeca,Romantic,Vietnamese restaurant in Tribeca with romantic atmosphere. $$ price range.,2.9,40.7932728483354,-73.91339361104997
rest_0153,Kitchen German Place,German,$,Bronx,Fast-casual,German restaurant in Bronx with fast-casual atmosphere. $ price range.,5.5,40.70452186701062,-73.99736330255027
rest_0154,Bistro Indian House,Indian,$$$$,Downtown,Family-friendly,Indian restaurant in Downtown with family-friendly atmosphere. $$$$ price range.,4.9,40.79872761293149,-73.98495831088965
